Date,Predicted_Min_Range,Predicted_Max_Range,Predicted_Avg
2026-02-12,179.9 - 215.3,216.3 - 286.5,231.78
2026-02-13,178.0 - 212.6,213.6 - 283.8,229.48
2026-02-14,178.7 - 212.6,213.6 - 283.9,229.85
2026-02-15,177.8 - 211.2,212.2 - 282.4,228.66
2026-02-16,177.0 - 210.1,211.1 - 281.4,227.75
2026-02-17,176.4 - 209.4,210.4 - 280.7,227.11
2026-02-18,175.8 - 208.7,209.7 - 279.9,226.42
2026-02-19,175.2 - 207.9,208.9 - 279.2,225.75
2026-02-20,174.6 - 207.3,208.3 - 278.5,225.12
2026-02-21,174.0 - 206.6,207.6 - 277.8,224.51
2026-02-22,173.5 - 206.0,207.0 - 277.2,223.91
2026-02-23,172.9 - 205.4,206.4 - 276.6,223.33
2026-02-24,172.4 - 204.7,205.7 - 276.0,222.76
2026-02-25,171.9 - 204.2,205.2 - 275.4,222.2
2026-02-26,171.3 - 203.6,204.6 - 274.8,221.66
2026-02-27,170.8 - 203.0,204.0 - 274.2,221.12
2026-02-28,170.4 - 202.5,203.5 - 273.7,220.6
2026-03-01,169.9 - 201.9,202.9 - 273.2,220.09
2026-03-02,169.4 - 201.4,202.4 - 272.6,219.59
2026-03-03,168.9 - 200.9,201.9 - 272.1,219.1
2026-03-04,168.5 - 200.4,201.4 - 271.6,218.63
2026-03-05,168.1 - 199.9,200.9 - 271.1,218.16
2026-03-06,167.6 - 199.4,200.4 - 270.6,217.7
2026-03-07,167.2 - 198.9,199.9 - 270.1,217.25
2026-03-08,166.8 - 198.4,199.4 - 269.7,216.81
2026-03-09,166.4 - 198.0,199.0 - 269.2,216.38
2026-03-10,166.0 - 197.5,198.5 - 268.8,215.96
2026-03-11,165.6 - 197.1,198.1 - 268.3,215.55
2026-03-12,165.2 - 196.7,197.7 - 267.9,215.15
2026-03-13,164.9 - 196.3,197.3 - 267.5,214.76
